epoch,eval/knn_probe_accuracy,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_loss_epoch,fit/inv_loss_step,fit/loss_epoch,fit/loss_step,fit/pool_size_epoch,fit/pool_size_step,fit/reg_loss_epoch,fit/reg_loss_step,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step
,,,0.015625,,0.5625,,,,,,,,,429,,
,,,0.0,,0.625,,,,,,,,,430,,
,,,0.0,,0.75,,,,,,,,,431,,
,,,0.0,,0.625,,,,,,,,,432,,
,,,0.0,,0.75,,,,,,,,,433,,
,,,0.0,,0.875,,,,,,,,,434,,
,,,0.0,,0.5625,,,,,,,,,435,,
,,,0.0,,0.625,,,,,,,,,436,,
,,,0.0,,0.625,,,,,,,,,437,,
,,,0.0,,0.625,,,,,,,,,438,,
,,,0.0,,0.5625,,,,,,,,,439,,
,,,0.0,,0.625,,,,,,,,,440,,
,,,0.0,,0.5625,,,,,,,,,441,,
,,,0.010416666977107525,,0.9375,,,,,,,,,442,,
,,,0.02500000037252903,,0.6875,,,,,,,,,443,,
,,,0.03750000149011612,,0.75,,,,,,,,,444,,
,,,0.010416666977107525,,0.75,,,,,,,,,445,,
,,,0.010416666977107525,,0.625,,,,,,,,,446,,
,,,0.015625,,0.5625,,,,,,,,,447,,
,,,0.02500000037252903,,0.625,,,,,,,,,448,,
,,,0.03125,,0.6875,,,,,,,,,449,,
,,,0.05000000074505806,,0.8125,,,,,,,,,450,,
,,,0.0,,0.625,,,,,,,,,451,,
,,,0.02500000037252903,,0.875,,,,,,,,,452,,
,,,0.05000000074505806,,0.875,,,,,,,,,453,,
