Per-sample gradient bias/variance at fixed anchor points
distributions=['standard_normal', 'shifted_normal', 'scaled_normal', 'laplace', 'student_t5', 'uniform', 'mixture_gauss', 'skewnormal']
anchors=[-1.5, -0.5, 0.5, 1.5], Ns=[16, 32, 64, 128, 256, 512, 1024, 2048, 4096], n_seeds=2000
Aggregation: median over seeds (IQR / std).

loss  distribution           y*      N        med grad       std grad  |med|/std
--------------------------------------------------------------------------------------
w1    student_t5          -0.50   4096     +2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    student_t5          +0.50     16     -6.2500e-02     6.1040e-02      1.024
w1    student_t5          +0.50     32     -3.1250e-02     2.9384e-02      1.063
w1    student_t5          +0.50     64     -1.5625e-02     1.3490e-02      1.158
w1    student_t5          +0.50    128     -7.8125e-03     6.5468e-03      1.193
w1    student_t5          +0.50    256     -3.9062e-03     2.4451e-03      1.598
w1    student_t5          +0.50    512     -1.9531e-03     8.1851e-04      2.386
w1    student_t5          +0.50   1024     -9.7656e-04     1.5699e-04      6.220
w1    student_t5          +0.50   2048     -4.8828e-04     3.7803e-05     12.916
w1    student_t5          +0.50   4096     -2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    student_t5          +1.50     16     +6.2500e-02     6.1808e-02      1.011
w1    student_t5          +1.50     32     +3.1250e-02     3.1252e-02      1.000
w1    student_t5          +1.50     64     -1.5625e-02     1.5581e-02      1.003
w1    student_t5          +1.50    128     -7.8125e-03     6.9903e-03      1.118
w1    student_t5          +1.50    256     -3.9062e-03     3.3724e-03      1.158
w1    student_t5          +1.50    512     -1.9531e-03     1.4556e-03      1.342
w1    student_t5          +1.50   1024     -9.7656e-04     5.0499e-04      1.934
w1    student_t5          +1.50   2048     -4.8828e-04     1.0636e-04      4.591
w1    student_t5          +1.50   4096     -2.4414e-04     1.8902e-05     12.916

w1    uniform             -1.50     16     -6.2500e-02     6.0176e-02      1.039
w1    uniform             -1.50     32     -3.1250e-02     3.0305e-02      1.031
w1    uniform             -1.50     64     -1.5625e-02     1.5149e-02      1.031
w1    uniform             -1.50    128     +7.8125e-03     7.8129e-03      1.000
w1    uniform             -1.50    256     -3.9062e-03     3.8962e-03      1.003
w1    uniform             -1.50    512     -1.9531e-03     1.9370e-03      1.008
